,CK,TENDOANHNGHIEP,KLĐANGKY_NIEMYET,KLLUUHANH,NGAYNIEMYET,Tran,San,TC,Giamua3,KLmua3,Giamua2,KLmua2,Giamua1,KLmua1,Giakhop,Khoiluongkhoplenh,Thaydoi,Phantramthaydoi,Giaban3,KLban3,Giaban2,KLban2,Giaban1,KLban1Caonhat,Thapnhat,TongKL,DTNNmua,DTNNban,DTNNdu
0,AAA,Công ty Cổ phần Nhựa An Phát Xanh,"326.434.496,00","326.434.496,00",06/10/2016,15.7,13.7,14.7,14.35,"38,300",14.4,"106,600",14.45,"30,800",14.45,"76,500",-0.25,-1.7%,14.5,"10,000",14.55,"17,200",14.6,"28,700",14.8,14.4,"1,960,000","76,100","177,300"
1,AAM,Công ty Cổ phần Thủy sản Mekong,"12.346.411,00","10.451.182,00",13/07/2009,12.3,10.7,11.5,11,"1,500",11.1,"1,000",11.2,"1,000",,,,,11.5,200,11.7,"1,000",11.75,"3,600",,,,,
2,ABS,Công ty Cổ phần Dịch vụ Nông nghiệp Bình Thuận,"80.000.000,00","80.000.000,00",27/12/2019,32.1,27.9,30,29.5,"2,000",29.6,"3,200",29.7,"1,000",29.8,200,-0.20,-0.7%,29.8,900,29.9,700,30,"7,200",30.5,29.1,"102,700",,
3,ABT,Công ty Cổ phần Xuất nhập khẩu Thủy sản Bến Tre,"14.107.207,00","11.497.257,00",06/12/2006,33.15,28.85,31,31,100,31.1,"1,000",31.2,100,32.4,100,1.40,4.5%,32.4,"2,000",32.5,"1,000",33,100,32.4,32.4,100,,
4,ACB,Ngân hàng Thương mại Cổ phần Á Châu,"2.701.948.075,00","2.701.948.075,00",20/11/2020,30.95,26.95,28.95,28.5,"264,500",28.55,"151,400",28.6,"77,900",28.65,"56,200",-0.30,-1.0%,28.65,"77,200",28.7,"91,500",28.75,"87,100",29.1,28.5,"5,438,100",,
5,ACC,Công ty Cổ phần Đầu tư và Xây dựng Bình Dương ACC,"30.000.000,00","30.000.000,00",17/06/2011,16.45,14.35,15.4,14.9,"11,000",14.95,"16,500",15,"7,200",15.05,100,-0.35,-2.3%,15.05,"1,700",15.25,"7,900",15.3,"31,700",15.2,14.8,"87,800","1,000","5,500"
6,ACL,Công ty Cổ phần Xuất Nhập Khẩu Thủy sản Cửu Long An Giang,"50.159.019,00","50.159.019,00",23/08/2007,14.75,12.85,13.8,13.7,"2,700",13.8,"9,900",13.9,"7,900",14,500,0.20,1.4%,14,500,14.1,"5,000",14.15,"4,300",14.4,13.8,"136,400","3,000",400
7,ADS,Công ty Cổ phần Damsan,"38.069.450,00","38.069.450,00",22/06/2016,12.7,11.1,11.9,12.35,500,12.4,"2,000",12.5,400,12.55,700,0.65,5.5%,12.55,"2,600",12.6,"1,800",12.7,"5,600",12.6,12,"68,400",,
8,AGG,Công ty Cổ phần Đầu tư và Phát triển Bất động sản An Gia,"82.750.577,00","82.750.577,00",17/12/2019,37,32.2,34.6,35.6,"6,600",35.7,"10,200",35.95,"6,000",36,"88,900",1.40,4.0%,36,"121,100",36.05,"1,100",36.1,"213,200",36,34.5,"2,010,900","5,200",
9,AGM,Công ty Cổ phần Xuất Nhập Khẩu An Giang,"18.200.000,00","18.200.000,00",14/09/2012,14.3,12.5,13.4,12.6,800,12.8,"10,400",12.9,600,13,"2,200",-0.40,-3.0%,13,500,13.1,200,13.2,700,13.4,12.8,"16,300",,
