Date,Change,Open,High,Low,Close,Average,Adj.Close,Volume,Ticker
2021-03-23,"-0,35 / -2,10%",16.70,16.75,16.10,16.35,16.41,16.35,3335400,AAA
2021-03-22,"0,00 / 0,00%",16.70,16.85,16.50,16.70,16.65,16.70,2836500,AAA
2021-03-19,"0,00 / 0,00%",16.70,17.00,16.55,16.70,16.74,16.70,2546400,AAA
2021-03-18,"+0,10 / +0,60%",16.75,17.10,16.45,16.70,16.75,16.70,4294500,AAA
2021-03-17,"-0,40 / -2,35%",17.00,17.05,16.60,16.60,16.79,16.60,3564400,AAA
2021-03-16,"+0,25 / +1,49%",16.75,17.40,16.50,17.00,16.99,17.00,4574600,AAA
2021-03-15,"+0,60 / +3,72%",16.10,17.10,15.90,16.75,16.45,16.75,7205100,AAA
2021-03-12,"-0,05 / -0,31%",16.15,16.30,16.00,16.15,16.16,16.15,2779700,AAA
2021-03-11,"+0,50 / +3,18%",16.70,16.70,16.10,16.20,16.47,16.20,5383600,AAA
2021-03-10,"+1,00 / +6,80%",14.75,15.70,14.65,15.70,15.31,15.70,10008900,AAA
2021-03-09,"0,00 / 0,00%",14.55,14.75,14.50,14.70,14.62,14.70,1715900,AAA
2021-03-08,"+0,10 / +0,68%",14.85,14.85,14.60,14.70,14.74,14.70,2432500,AAA
2021-03-05,"+0,30 / +2,10%",14.25,14.65,14.05,14.60,14.32,14.60,2998400,AAA
2021-03-04,"-0,50 / -3,38%",14.85,14.90,14.15,14.30,14.80,14.30,2662200,AAA
2021-03-03,"0,00 / 0,00%",14.80,14.90,14.60,14.80,14.78,14.80,2083100,AAA
2021-03-02,"-0,05 / -0,34%",15.00,15.05,14.55,14.80,14.78,14.80,2266500,AAA
2021-03-01,"+0,55 / +3,85%",14.50,14.85,14.30,14.85,14.63,14.85,4142000,AAA
2021-02-26,"0,00 / 0,00%",14.00,14.35,13.90,14.30,14.17,14.30,1618800,AAA
2021-02-25,"+0,30 / +2,14%",14.00,14.40,13.85,14.30,14.09,14.30,2535400,AAA
2021-02-24,"-0,25 / -1,75%",14.30,14.45,13.70,14.00,14.08,14.00,3042200,AAA
2021-02-23,"-0,15 / -1,04%",14.35,14.40,14.15,14.25,14.28,14.25,3119000,AAA
2021-02-22,"+0,10 / +0,70%",14.40,14.75,14.20,14.40,14.45,14.40,3688300,AAA
2021-02-19,"+0,15 / +1,06%",14.00,14.65,13.95,14.30,14.33,14.30,3044200,AAA
2021-02-18,"+0,50 / +3,66%",13.75,14.35,13.60,14.15,13.99,14.15,3230400,AAA
2021-02-17,"+0,65 / +5,00%",13.00,13.70,12.95,13.65,13.33,13.65,3076600,AAA
2021-02-09,"+0,15 / +1,17%",12.90,13.20,12.75,13.00,12.98,13.00,1730600,AAA
2021-02-08,"-0,40 / -3,02%",13.30,13.35,12.60,12.85,13.00,12.85,1913400,AAA
2021-02-05,"-0,05 / -0,38%",13.30,13.35,13.10,13.25,13.26,13.25,1734500,AAA
2021-02-04,"0,00 / 0,00%",13.20,13.55,13.00,13.30,13.28,13.30,1727800,AAA
2021-02-03,"+0,80 / +6,40%",12.80,13.35,12.55,13.30,12.99,13.30,2277600,AAA
2021-02-02,"+0,30 / +2,46%",12.10,12.70,11.80,12.50,12.33,12.50,2105100,AAA
2021-02-01,"-0,90 / -6,87%",12.20,13.00,12.20,12.20,12.32,12.20,5414300,AAA
2021-01-29,"+0,15 / +1,16%",12.20,13.35,12.20,13.10,12.84,13.10,2378300,AAA
2021-01-28,"-0,95 / -6,83%",13.10,13.50,12.95,12.95,12.79,12.95,4180300,AAA
2021-01-27,"-0,50 / -3,47%",14.30,14.65,13.75,13.90,14.14,13.90,3071000,AAA
2021-01-26,"-0,30 / -2,04%",14.70,14.75,14.10,14.40,14.47,14.40,2339300,AAA
2021-01-25,"+0,25 / +1,73%",14.50,14.90,14.35,14.70,14.45,14.70,3162000,AAA
2021-01-22,"-0,25 / -1,70%",14.75,14.80,14.40,14.45,14.61,14.45,1960000,AAA
2021-01-21,"+0,45 / +3,16%",14.50,14.75,14.25,14.70,14.50,14.70,2169600,AAA
2021-01-20,"-0,15 / -1,04%",14.40,14.60,13.55,14.25,14.10,14.25,2545300,AAA
2021-01-19,"-1,05 / -6,80%",15.40,15.40,14.40,14.40,14.86,14.40,4855800,AAA
2021-01-18,"-0,15 / -0,96%",15.75,15.75,15.40,15.45,15.54,15.45,2907200,AAA
2021-01-15,"+0,15 / +0,97%",15.80,15.85,15.55,15.60,15.71,15.60,3470400,AAA
2021-01-14,"+0,05 / +0,32%",15.40,15.85,15.25,15.45,15.47,15.45,4581700,AAA
2021-01-13,"-0,10 / -0,65%",15.55,15.70,15.25,15.40,15.46,15.40,4665900,AAA
2021-01-12,"-0,30 / -1,90%",15.80,15.80,15.40,15.50,15.57,15.50,3892400,AAA
2021-01-11,"+0,65 / +4,29%",15.35,15.90,15.35,15.80,15.13,15.80,4851900,AAA
2021-01-08,"-0,05 / -0,33%",15.20,15.50,14.90,15.15,15.30,15.15,4207200,AAA
2021-01-07,"+0,65 / +4,47%",14.60,15.20,14.40,15.20,14.96,15.20,6172300,AAA
2021-01-06,"+0,05 / +0,34%",14.65,14.75,14.50,14.55,14.58,14.55,4532300,AAA
2021-01-05,"-0,05 / -0,34%",14.40,14.65,14.40,14.50,14.52,14.50,2545400,AAA
2021-01-04,"+0,15 / +1,04%",14.50,14.80,14.50,14.55,14.60,14.55,4501400,AAA
2020-12-31,"-0,05 / -0,35%",14.50,14.60,14.40,14.40,14.46,14.40,2148310,AAA
2020-12-30,"+0,45 / +3,21%",14.00,14.70,14.00,14.45,14.23,14.45,4789590,AAA
2020-12-29,"-0,10 / -0,71%",14.00,14.25,13.90,14.00,14.08,14.00,3781120,AAA
2020-12-28,"+0,10 / +0,71%",14.20,14.40,13.85,14.10,14.12,14.10,3385650,AAA
2020-12-25,"+0,50 / +3,70%",13.60,14.15,13.50,14.00,13.78,14.00,3203980,AAA
2020-12-24,"-0,60 / -4,26%",14.10,14.15,13.15,13.50,13.55,13.50,4753440,AAA
2020-12-23,"-0,35 / -2,42%",14.50,14.55,14.00,14.10,14.33,14.10,2965310,AAA
2020-12-22,"+0,20 / +1,40%",14.25,14.65,14.00,14.45,14.37,14.45,4665730,AAA
2020-12-21,"+0,90 / +6,74%",13.35,14.25,13.35,14.25,13.99,14.25,7465300,AAA
2020-12-18,"+0,15 / +1,14%",13.20,13.35,13.15,13.35,13.26,13.35,2515360,AAA
2020-12-17,"-0,15 / -1,12%",13.30,13.40,13.10,13.20,13.23,13.20,3706540,AAA
2020-12-16,"+0,05 / +0,38%",13.35,13.65,13.35,13.35,13.46,13.35,2207590,AAA
2020-12-15,"+0,25 / +1,92%",13.00,13.45,12.95,13.30,13.26,13.30,3621140,AAA
2020-12-14,"+0,10 / +0,77%",13.00,13.25,12.95,13.05,13.12,13.05,3149440,AAA
2020-12-11,"+0,10 / +0,78%",12.85,13.00,12.65,12.95,12.84,12.95,1892560,AAA
2020-12-10,"-0,40 / -3,02%",13.25,13.30,12.85,12.85,13.01,12.85,2623550,AAA
2020-12-09,"+0,35 / +2,71%",12.90,13.40,12.90,13.25,13.19,13.25,4639140,AAA
2020-12-08,"-0,05 / -0,39%",12.95,13.00,12.60,12.90,12.84,12.90,2433940,AAA
2020-12-07,"+0,15 / +1,17%",12.90,13.15,12.85,12.95,12.96,12.95,2647880,AAA
2020-12-04,"-0,10 / -0,78%",12.95,13.20,12.80,12.80,12.96,12.80,3316140,AAA
2020-12-03,"0,00 / 0,00%",12.80,12.95,12.75,12.90,12.86,12.90,1883390,AAA
2020-12-02,"+0,30 / +2,38%",12.70,13.20,12.55,12.90,12.97,12.90,4140090,AAA
2020-12-01,"-0,10 / -0,79%",12.40,12.70,12.30,12.60,12.54,12.60,2949630,AAA
2020-11-30,"+0,45 / +3,67%",12.25,12.90,12.20,12.70,12.63,12.70,6342150,AAA
2020-11-27,"+0,05 / +0,41%",12.20,12.30,12.10,12.25,12.19,12.25,1975170,AAA
2020-11-26,"+0,15 / +1,24%",12.00,12.40,11.95,12.20,12.24,12.20,2486170,AAA
2020-11-25,"-0,05 / -0,41%",12.20,12.30,12.05,12.05,12.16,12.05,1843450,AAA
2020-11-24,"-0,20 / -1,63%",12.25,12.30,11.95,12.10,12.10,12.10,3395440,AAA
2020-11-23,"0,00 / 0,00%",12.30,12.45,12.15,12.30,12.29,12.30,1749730,AAA
2020-11-20,"0,00 / 0,00%",12.80,12.80,12.30,12.30,12.53,12.30,4063080,AAA
2020-11-19,"+0,80 / +6,96%",11.55,12.30,11.55,12.30,12.18,12.30,6421330,AAA
2020-11-18,"+0,05 / +0,44%",11.50,11.50,11.40,11.50,11.45,11.50,1095490,AAA
2020-11-17,"+0,25 / +2,23%",11.30,11.50,11.20,11.45,11.34,11.45,1212580,AAA
2020-11-16,"-0,05 / -0,44%",11.30,11.40,11.20,11.20,11.28,11.20,944880,AAA
